true_age,position_group
17,QB
17.1,QB
17.2,QB
17.3,QB
17.4,QB
17.5,QB
17.6,QB
17.7,QB
17.8,QB
17.9,QB
18,QB
18.1,QB
18.2,QB
18.3,QB
18.4,QB
18.5,QB
18.6,QB
18.7,QB
18.8,QB
18.9,QB
19,QB
19.1,QB
19.2,QB
19.3,QB
19.4,QB
19.5,QB
19.6,QB
19.7,QB
19.8,QB
19.9,QB
20,QB
20.1,QB
20.2,QB
20.3,QB
20.4,QB
20.5,QB
20.6,QB
20.7,QB
20.8,QB
20.9,QB
21,QB
21.1,QB
21.2,QB
21.3,QB
21.4,QB
21.5,QB
21.6,QB
21.7,QB
21.8,QB
21.9,QB
22,QB
22.1,QB
22.2,QB
22.3,QB
22.4,QB
22.5,QB
22.6,QB
22.7,QB
22.8,QB
22.9,QB
23,QB
23.1,QB
23.2,QB
23.3,QB
23.4,QB
23.5,QB
23.6,QB
23.7,QB
23.8,QB
23.9,QB
24,QB
24.1,QB
24.2,QB
24.3,QB
24.4,QB
24.5,QB
24.6,QB
24.7,QB
24.8,QB
24.9,QB
25,QB
25.1,QB
25.2,QB
25.3,QB
25.4,QB
25.5,QB
25.6,QB
25.7,QB
25.8,QB
25.9,QB
26,QB
26.1,QB
26.2,QB
26.3,QB
26.4,QB
26.5,QB
26.6,QB
26.7,QB
26.8,QB
26.9,QB
27,QB
27.1,QB
27.2,QB
27.3,QB
27.4,QB
27.5,QB
27.6,QB
27.7,QB
27.8,QB
27.9,QB
28,QB
28.1,QB
28.2,QB
28.3,QB
28.4,QB
28.5,QB
28.6,QB
28.7,QB
28.8,QB
28.9,QB
29,QB
29.1,QB
29.2,QB
29.3,QB
29.4,QB
29.5,QB
29.6,QB
29.7,QB
29.8,QB
29.9,QB
30,QB
30.1,QB
30.2,QB
30.3,QB
30.4,QB
30.5,QB
30.6,QB
30.7,QB
30.8,QB
30.9,QB
31,QB
31.1,QB
31.2,QB
31.3,QB
31.4,QB
31.5,QB
31.6,QB
31.7,QB
31.8,QB
31.9,QB
32,QB
32.1,QB
32.2,QB
32.3,QB
32.4,QB
32.5,QB
32.6,QB
32.7,QB
32.8,QB
32.9,QB
33,QB
33.1,QB
33.2,QB
33.3,QB
33.4,QB
33.5,QB
33.6,QB
33.7,QB
33.8,QB
33.9,QB
34,QB
34.1,QB
34.2,QB
34.3,QB
34.4,QB
34.5,QB
34.6,QB
34.7,QB
34.8,QB
34.9,QB
35,QB
35.1,QB
35.2,QB
35.3,QB
35.4,QB
35.5,QB
35.6,QB
35.7,QB
35.8,QB
35.9,QB
36,QB
36.1,QB
36.2,QB
36.3,QB
36.4,QB
36.5,QB
36.6,QB
36.7,QB
36.8,QB
36.9,QB
37,QB
37.1,QB
37.2,QB
37.3,QB
37.4,QB
37.5,QB
37.6,QB
37.7,QB
37.8,QB
37.9,QB
38,QB
38.1,QB
38.2,QB
38.3,QB
38.4,QB
38.5,QB
38.6,QB
38.7,QB
38.8,QB
38.9,QB
39,QB
39.1,QB
39.2,QB
39.3,QB
39.4,QB
39.5,QB
39.6,QB
39.7,QB
39.8,QB
39.9,QB
40,QB
40.1,QB
40.2,QB
40.3,QB
40.4,QB
40.5,QB
40.6,QB
40.7,QB
40.8,QB
40.9,QB
41,QB
41.1,QB
41.2,QB
41.3,QB
41.4,QB
41.5,QB
41.6,QB
41.7,QB
41.8,QB
41.9,QB
42,QB
42.1,QB
42.2,QB
42.3,QB
42.4,QB
42.5,QB
42.6,QB
42.7,QB
42.8,QB
42.9,QB
43,QB
43.1,QB
43.2,QB
43.3,QB
43.4,QB
43.5,QB
43.6,QB
43.7,QB
43.8,QB
43.9,QB
44,QB
44.1,QB
44.2,QB
44.3,QB
44.4,QB
44.5,QB
44.6,QB
44.7,QB
44.8,QB
44.9,QB
45,QB
45.1,QB
45.2,QB
45.3,QB
45.4,QB
45.5,QB
45.6,QB
45.7,QB
45.8,QB
45.9,QB
46,QB
46.1,QB
46.2,QB
46.3,QB
46.4,QB
46.5,QB
46.6,QB
46.7,QB
46.8,QB
46.9,QB
47,QB
17,WR
17.1,WR
17.2,WR
17.3,WR
17.4,WR
17.5,WR
17.6,WR
17.7,WR
17.8,WR
17.9,WR
18,WR
18.1,WR
18.2,WR
18.3,WR
18.4,WR
18.5,WR
18.6,WR
18.7,WR
18.8,WR
18.9,WR
19,WR
19.1,WR
19.2,WR
19.3,WR
19.4,WR
19.5,WR
19.6,WR
19.7,WR
19.8,WR
19.9,WR
20,WR
20.1,WR
20.2,WR
20.3,WR
20.4,WR
20.5,WR
20.6,WR
20.7,WR
20.8,WR
20.9,WR
21,WR
21.1,WR
21.2,WR
21.3,WR
21.4,WR
21.5,WR
21.6,WR
21.7,WR
21.8,WR
21.9,WR
22,WR
22.1,WR
22.2,WR
22.3,WR
22.4,WR
22.5,WR
22.6,WR
22.7,WR
22.8,WR
22.9,WR
23,WR
23.1,WR
23.2,WR
23.3,WR
23.4,WR
23.5,WR
23.6,WR
23.7,WR
23.8,WR
23.9,WR
24,WR
24.1,WR
24.2,WR
24.3,WR
24.4,WR
24.5,WR
24.6,WR
24.7,WR
24.8,WR
24.9,WR
25,WR
25.1,WR
25.2,WR
25.3,WR
25.4,WR
25.5,WR
25.6,WR
25.7,WR
25.8,WR
25.9,WR
26,WR
26.1,WR
26.2,WR
26.3,WR
26.4,WR
26.5,WR
26.6,WR
26.7,WR
26.8,WR
26.9,WR
27,WR
27.1,WR
27.2,WR
27.3,WR
27.4,WR
27.5,WR
27.6,WR
27.7,WR
27.8,WR
27.9,WR
28,WR
28.1,WR
28.2,WR
28.3,WR
28.4,WR
28.5,WR
28.6,WR
28.7,WR
28.8,WR
28.9,WR
29,WR
29.1,WR
29.2,WR
29.3,WR
29.4,WR
29.5,WR
29.6,WR
29.7,WR
29.8,WR
29.9,WR
30,WR
30.1,WR
30.2,WR
30.3,WR
30.4,WR
30.5,WR
30.6,WR
30.7,WR
30.8,WR
30.9,WR
31,WR
31.1,WR
31.2,WR
31.3,WR
31.4,WR
31.5,WR
31.6,WR
31.7,WR
31.8,WR
31.9,WR
32,WR
32.1,WR
32.2,WR
32.3,WR
32.4,WR
32.5,WR
32.6,WR
32.7,WR
32.8,WR
32.9,WR
33,WR
33.1,WR
33.2,WR
33.3,WR
33.4,WR
33.5,WR
33.6,WR
33.7,WR
33.8,WR
33.9,WR
34,WR
34.1,WR
34.2,WR
34.3,WR
34.4,WR
34.5,WR
34.6,WR
34.7,WR
34.8,WR
34.9,WR
35,WR
35.1,WR
35.2,WR
35.3,WR
35.4,WR
35.5,WR
35.6,WR
35.7,WR
35.8,WR
35.9,WR
36,WR
36.1,WR
36.2,WR
36.3,WR
36.4,WR
36.5,WR
36.6,WR
36.7,WR
36.8,WR
36.9,WR
37,WR
37.1,WR
37.2,WR
37.3,WR
37.4,WR
37.5,WR
37.6,WR
37.7,WR
37.8,WR
37.9,WR
38,WR
38.1,WR
38.2,WR
38.3,WR
38.4,WR
38.5,WR
38.6,WR
38.7,WR
38.8,WR
38.9,WR
39,WR
39.1,WR
39.2,WR
39.3,WR
39.4,WR
39.5,WR
39.6,WR
39.7,WR
39.8,WR
39.9,WR
40,WR
40.1,WR
40.2,WR
40.3,WR
40.4,WR
40.5,WR
40.6,WR
40.7,WR
40.8,WR
40.9,WR
41,WR
41.1,WR
41.2,WR
41.3,WR
41.4,WR
41.5,WR
41.6,WR
41.7,WR
41.8,WR
41.9,WR
42,WR
42.1,WR
42.2,WR
42.3,WR
42.4,WR
42.5,WR
42.6,WR
42.7,WR
42.8,WR
42.9,WR
43,WR
43.1,WR
43.2,WR
43.3,WR
43.4,WR
43.5,WR
43.6,WR
43.7,WR
43.8,WR
43.9,WR
44,WR
44.1,WR
44.2,WR
44.3,WR
44.4,WR
44.5,WR
44.6,WR
44.7,WR
44.8,WR
44.9,WR
45,WR
45.1,WR
45.2,WR
45.3,WR
45.4,WR
45.5,WR
45.6,WR
45.7,WR
45.8,WR
45.9,WR
46,WR
46.1,WR
46.2,WR
46.3,WR
46.4,WR
46.5,WR
46.6,WR
46.7,WR
46.8,WR
46.9,WR
47,WR
17,RB
17.1,RB
17.2,RB
17.3,RB
17.4,RB
17.5,RB
17.6,RB
17.7,RB
17.8,RB
17.9,RB
18,RB
18.1,RB
18.2,RB
18.3,RB
18.4,RB
18.5,RB
18.6,RB
18.7,RB
18.8,RB
18.9,RB
19,RB
19.1,RB
19.2,RB
19.3,RB
19.4,RB
19.5,RB
19.6,RB
19.7,RB
