,gsis_id,ra_epa_per_play,play_count,ra_epa_total_impact,display_name,position_group
0,00-0004091,-0.13050047055901265,302,-39.41114210882182,Phil Dawson,SPEC
1,00-0016919,0.05419047843430595,284,15.39009587534289,Adam Vinatieri,SPEC
2,00-0019596,-0.09687376116979766,8912,-863.3389595452368,Tom Brady,QB
3,00-0019646,-0.12660569147757383,330,-41.779878187599365,Sebastian Janikowski,SPEC
4,00-0019714,-0.02266399842694671,325,-7.3657994887576805,Shane Lechler,SPEC
5,00-0020337,0.0501529652231275,730,36.611664612883075,Steve Smith,WR
6,00-0020531,0.01434881005423108,5071,72.7628157850058,Drew Brees,QB
7,00-0020578,-0.06510876428626325,290,-18.88154164301634,Matt Bryant,SPEC
8,00-0020679,-0.14960967390013136,76,-11.370335216409984,Shaun Hill,QB
9,00-0020712,-0.1063280907892458,1040,-110.58121442081563,James Harrison,LB
10,00-0021140,-0.04201674212264445,2140,-89.91582814245913,Julius Peppers,DL
11,00-0021146,-0.07490141046778412,787,-58.9474100381461,Dwight Freeney,DL
12,00-0021206,-0.20000242881672592,1379,-275.80334933826504,Josh McCown,QB
13,00-0021429,-0.11747429834796944,1530,-179.73567647239324,Carson Palmer,QB
14,00-0021451,0.025343907048706957,111,2.813173682406472,Jon Dorenbos,SPEC
15,00-0021547,0.08617820356907724,1575,135.73067062129664,Antonio Gates,TE
16,00-0021678,0.5968172334998534,7,4.177720634498973,Tony Romo,QB
17,00-0021706,-0.14317311656340254,384,-54.978476760346574,Cullen Jenkins,DL
18,00-0022045,0.030764438712289302,1462,44.97760939736696,Terence Newman,DB
19,00-0022059,0.026605074941431234,543,14.44655569319716,Robert Mathis,LB
20,00-0022084,0.008528274728171805,898,7.658390705898281,Anquan Boldin,WR
21,00-0022127,0.09078868742337798,3723,338.0062832772362,Jason Witten,TE
22,00-0022161,0.0036587304836744575,3202,11.715255008725613,Terrell Suggs,LB
23,00-0022247,0.05352356021516159,3468,185.6197068261804,Mike Adams,DB
24,00-0022455,-0.12518260942375609,723,-90.50702661337564,Don Muhlbach,SPEC
25,00-0022531,-0.03683999707788635,5416,-199.52542417383248,Jason Peters,OL
26,00-0022684,0.18172615651725552,435,79.05087808500615,Donnie Jones,SPEC
27,00-0022712,0.04632137460494401,668,30.942678236102598,Vince Wilfork,DL
28,00-0022787,-0.08714271861211051,160,-13.942834977937682,Matt Schaub,QB
29,00-0022793,0.03568224739484152,297,10.597627476267931,Antonio Smith,DL
30,00-0022803,0.002083599808848461,3472,7.234258536321857,Eli Manning,QB
31,00-0022824,0.056607270370281036,941,53.26744141843446,Andy Lee,SPEC
32,00-0022839,0.15724846001067477,559,87.9018891459672,Daryl Smith,LB
33,00-0022921,0.023606201249221616,4745,112.01142492755656,Larry Fitzgerald,WR
34,00-0022923,-0.1870571183697344,338,-63.22530600897023,DeAngelo Hall,DB
35,00-0022924,0.06994826278658528,5757,402.6921488623715,Ben Roethlisberger,QB
36,00-0022927,0.019169257754352482,1877,35.98069680491961,Karlos Dansby,LB
37,00-0022942,-0.04890952403001396,5462,-267.14382025193623,Philip Rivers,QB
38,00-0022943,0.00611196504716348,1771,10.824290098526523,Benjamin Watson,TE
39,00-0022999,0.18467922518377422,431,79.59674605420669,John Kuhn,RB
40,00-0023003,-0.03081422481390269,163,-5.0227186446661385,Greg Warren,SPEC
41,00-0023096,-0.004416842215222754,227,-1.0026231828555652,Nick Novak,SPEC
42,00-0023173,-0.06936534413445682,446,-30.93694348396774,John Denney,SPEC
43,00-0023177,-0.08461489162344962,353,-29.869056743077717,Jon Condo,SPEC
44,00-0023252,0.07960653966309564,718,57.15749547810267,Robbie Gould,SPEC
45,00-0023259,0.0420982698392474,3685,155.13212435762668,Lorenzo Alexander,LB
46,00-0023298,-0.2597061668663631,717,-186.20932164318234,L.P. LaDouceur,SPEC
47,00-0023368,-0.003912859698026105,2024,-7.919628028804837,Cameron Wake,LB
48,00-0023436,-0.22349108851914132,3215,-718.5238495890393,Alex Smith,QB
49,00-0023441,0.04175799799903731,1604,66.97982879045584,Adam Jones,DB
50,00-0023445,0.09444682505866321,327,30.88411179418287,DeMarcus Ware,LB
51,00-0023448,0.034178654755402646,3711,126.83698779729922,Thomas Davis,LB
52,00-0023449,0.14398127707353536,1927,277.45192092070266,Derrick Johnson,LB
53,00-0023459,0.0871241840335105,7296,635.6580467084925,Aaron Rodgers,QB
54,00-0023482,-0.16419803703681102,270,-44.33346999993898,Mike Nugent,SPEC
55,00-0023487,0.406530019285387,24,9.756720462849287,Khalif Barnes,OL
56,00-0023494,-0.02684132780895453,667,-17.90316564857267,Jonathan Babineaux,DL
57,00-0023496,-0.22314562100558816,321,-71.6297443427938,Vincent Jackson,WR
58,00-0023500,0.039548618272799506,2369,93.69067668826203,Frank Gore,RB
59,00-0023514,0.025505894436394116,204,5.2032024650243995,Evan Mathis,OL
60,00-0023516,0.013326721067786053,3253,43.351823633508026,Richie Incognito,OL
61,00-0023534,-0.07650434356508345,818,-62.580553036238264,Dustin Colquitt,SPEC
62,00-0023564,-0.02527432129648415,1095,-27.67538181965014,Darren Sproles,RB
63,00-0023579,-0.03985460763224493,274,-10.92016249123511,Trent Cole,LB
64,00-0023639,0.06311068226471898,2281,143.955466245824,Joe Berger,OL
65,00-0023645,-0.3768048958131007,229,-86.28832114120007,Derek Anderson,QB
66,00-0023662,-0.5365942514058336,209,-112.14819854381922,Matt Cassel,QB
67,00-0023682,-0.09707315894498862,2938,-285.2009409803766,Ryan Fitzpatrick,QB
68,00-0023740,-0.2258764632762307,66,-14.907846576231227,Thomas Gafford,SPEC
69,00-0023742,0.21835509466272887,330,72.05718123870052,Jon Ryan,SPEC
70,00-0023750,-0.057199008662865085,491,-28.084713253466756,Mario Williams,DL
71,00-0023853,0.04979582237922297,819,40.78277852858361,Matt Prater,SPEC
72,00-0023894,0.026152748730186318,3186,83.32265745437361,Donald Penn,OL
73,00-0024030,0.005366863382806778,1808,9.703288996114654,Tom Johnson,DL
74,00-0024061,0.014102713676161852,3572,50.374893251250136,Tramon Williams,DB
75,00-0024102,0.04422748468930995,694,30.693874374381103,Tony McDaniel,DL
76,00-0024183,-0.02254608553400376,2750,-62.00173521851033,Brent Grimes,DB
77,00-0024217,0.11852283608945811,137,16.237628544255763,Reggie Bush,RB
78,00-0024221,0.05085025500736039,2194,111.56545948614868,Vernon Davis,TE
79,00-0024223,-0.08784207590572518,584,-51.299772328943504,Donte Whitner,DB
80,00-0024226,-0.1241663986367063,1060,-131.61638255490868,Jay Cutler,QB
81,00-0024227,0.017288958826391983,1316,22.75226981553185,Haloti Ngata,DL
82,00-0024232,0.008386837427419205,486,4.076002989725734,Chad Greenway,LB
83,00-0024235,0.0400556176260712,737,29.520990190414473,Tamba Hali,LB
84,00-0024239,-0.010508080977605966,3585,-37.67147030471739,Johnathan Joseph,DB
85,00-0024242,-0.005377210538283122,346,-1.8605148462459604,DeAngelo Williams,RB
86,00-0024243,0.017656636710444526,4166,73.5575485357119,Marcedes Lewis,TE
87,00-0024244,0.19946438652748663,442,88.16325884514909,Nick Mangold,OL
88,00-0024249,-0.15198913966393185,780,-118.55152893786685,D'Qwell Jackson,LB
89,00-0024258,-0.20670235277001134,442,-91.36243992434501,Roman Harper,DB
90,00-0024264,-0.13494867263617802,135,-18.218070805884032,Kellen Clemens,QB
91,00-0024268,0.028917380181188227,1202,34.75869097778825,Anthony Fasano,TE
92,00-0024270,0.11562413563656822,6713,776.1848225282824,Andrew Whitworth,OL
93,00-0024271,0.26652955981289145,1371,365.4120265034742,Chris Chester,OL
94,00-0024272,-0.02271203438866815,147,-3.338669055134218,Devin Hester,WR
95,00-0024278,0.11293367237278178,507,57.25737189300036,Darryl Tapp,DL
96,00-0024281,-0.06624088081424258,590,-39.082119680403125,Eric Winston,OL
97,00-0024306,0.04275452316306079,1600,68.40723706089726,Frostee Rucker,DL
98,00-0024323,0.05858696630197564,2235,130.94186968491556,Jahri Evans,OL
99,00-0024330,0.0012843514267965289,676,0.8682215645144535,Will Blackmon,DB
100,00-0024331,-0.07265427635349853,73,-5.303762173805392,Stephen Tulloch,LB
101,00-0024333,-0.11989465026428896,865,-103.70887247860995,Stephen Gostkowski,SPEC
102,00-0024334,-0.02667244825275569,1384,-36.914668381813875,Brandon Marshall,WR
103,00-0024338,0.030886846250414674,2245,69.34096983218095,Domata Peko Sr.,DL
104,00-0024341,-0.022984979693922235,642,-14.756356963498074,Elvis Dumervil,DL
105,00-0024348,0.025087587215562222,2532,63.52177082980355,Kyle Williams,DL
106,00-0024349,0.03808734805543861,646,24.604426843813343,Rob Ninkovich,LB
107,00-0024389,0.024224024473585973,1833,44.402636860083085,Delanie Walker,TE
108,00-0024410,0.018014389179997044,41,0.7385899563798788,Kedric Golston,DL
109,00-0024417,0.2638825127213732,914,241.1886166273351,Sam Koch,SPEC
110,00-0024421,-0.10419763718739865,4231,-440.86020293988366,Antoine Bethea,DB
111,00-0024424,-0.07735142209932383,1327,-102.64533712580273,Zach Strief,OL
112,00-0024495,0.11492480141520622,1391,159.86039876855185,Ahmad Brooks,LB
113,00-0024535,-0.10932491582492528,769,-84.07086026936754,Eric Weems,WR
114,00-0025390,-0.21608086956671207,1542,-333.19670087187,Joe Thomas,OL
115,00-0025394,0.0022694755220434904,1687,3.8286052056873685,Adrian Peterson,RB
116,00-0025396,0.007737800077260572,2619,20.265298402345437,Ted Ginn,WR
117,00-0025399,-0.01507692530485728,765,-11.533847858215818,Marshawn Lynch,RB
118,00-0025401,0.008376507945992644,1192,9.984797471623232,Darrelle Revis,DB
119,00-0025402,0.1562085562244044,2066,322.7268771596195,Lawrence Timmons,LB
120,00-0025405,-0.03927086775725091,1164,-45.71129006944006,Leon Hall,DB
121,00-0025406,0.06982458267492575,485,33.86492259733899,Michael Griffin,DB
122,00-0025408,-0.08080331541188056,2611,-210.97745654042015,Reggie Nelson,DB
123,00-0025415,0.07275501738266711,3736,271.8127449416443,Joe Staley,OL
124,00-0025418,0.03137202713165467,3206,100.57871898408487,Greg Olsen,TE
125,00-0025420,-0.01594929266416239,1341,-21.388001462641764,Alan Branch,DL
126,00-0025421,-0.061774309069766095,1877,-115.95037812395096,Paul Posluszny,LB
127,00-0025424,0.09266877948285059,4521,418.9555520419675,Eric Weddle,DB
128,00-0025430,-0.2906643968526827,433,-125.85768383721161,Drew Stanton,QB
129,00-0025434,0.009312006347472982,1202,11.193031629662524,David Harris,LB
130,00-0025435,-0.013781351453878411,481,-6.628830049315516,Justin Durant,LB
131,00-0025446,0.13741343549110913,2354,323.4712271460709,Ryan Kalil,OL
132,00-0025470,-0.027695400601711516,966,-26.753756981253325,Charles Johnson,DL
133,00-0025472,-0.005787568578403219,1805,-10.446561284017811,Brandon Mebane,DL
134,00-0025473,0.15683259714421263,3384,530.7215087360155,Marshal Yanda,OL
135,00-0025489,0.05278573204170342,1596,84.24602833855866,Brian Robison,DL
136,00-0025495,0.015530030494693385,168,2.609045123108489,Paul Soliai,DL
137,00-0025503,-0.02293110165735672,541,-12.405725996629986,Zak DeOssie,SPEC
138,00-0025506,-0.006133510459802903,1367,-8.384508798550568,Allen Barbre,OL
139,00-0025509,0.04108830381281738,1233,50.66187860120383,Doug Free,OL
140,00-0025512,-0.039442143979631,2199,-86.73327461120857,Jermon Bushrod,OL
141,00-0025513,0.04847270367416335,56,2.7144714057531476,Dashon Goldson,DB
142,00-0025549,-0.047422461121094335,1351,-64.06774497459844,Brent Celek,TE
143,00-0025555,-0.020792162438585594,2833,-58.90419618851299,Corey Graham,DB
144,00-0025557,-0.04277030546980657,1305,-55.81524863809757,William Gay,DB
145,00-0025565,0.08654246743825285,592,51.233140723445686,Nick Folk,SPEC
146,00-0025580,0.13607756261100298,1163,158.25820531659647,Mason Crosby,SPEC
147,00-0025630,0.1477018891196495,880,129.97766242529156,Clark Harris,SPEC
148,00-0025660,-0.03760833381438939,239,-8.988391781639065,Brett Goode,SPEC
149,00-0025697,-0.13350105829526157,73,-9.745577255554094,Jason Trusnik,LB
150,00-0025708,-0.12903417665424505,640,-82.58187305871684,Matt Moore,QB
151,00-0025753,-0.01715890649379922,211,-3.620529270191635,James Ihedigbo,DB
152,00-0025820,-0.15120460112678097,224,-33.86983065239894,Jake Long,OL
153,00-0025825,0.21386117431347915,931,199.10475328584909,Brett Kern,SPEC
154,00-0025828,0.04013977694770831,3542,142.17508994878284,Wesley Woodyard,LB
155,00-0025866,-0.03556880817862447,1,-0.03556880817862447,Ryan Wendell,OL
156,00-0025900,0.07915787574071974,3317,262.56667383196736,Chris Clark,OL
157,00-0025920,-0.13240959758164292,897,-118.7714090307337,Jerrell Freeman,LB
158,00-0025942,-0.00276396225645886,894,-2.470982257274221,Leger Douzable,DL
159,00-0025944,0.01793294426066955,595,10.670101835098382,Steven Hauschka,SPEC
160,00-0025945,-0.04853099160162518,214,-10.38563220274779,Erin Henderson,LB
161,00-0026003,-0.15441108431360576,143,-22.080785056845624,Dan Carpenter,SPEC
162,00-0026008,-0.0871757850658938,264,-23.014407257395963,Matthew Mulligan,TE
163,00-0026019,0.12111644869016085,217,26.282269365764904,Danny Woodhead,RB
164,00-0026027,-0.023622919143783283,1128,-26.646652794187542,J.J. Jansen,SPEC
165,00-0026035,0.012746823674489621,3334,42.497910130748394,Danny Amendola,WR
166,00-0026069,0.04629399869600886,812,37.59072694115919,Mike Tolbert,RB
167,00-0026105,0.08482954044771375,285,24.176419027598417,Wallace Gilberry,DL
168,00-0026138,-0.05206025867713181,193,-10.047629924686438,Connor Barth,SPEC
169,00-0026142,0.05458296013210047,2156,117.6808620448086,Chris Long,DL
170,00-0026143,-0.20233819711395257,7630,-1543.840443979458,Matt Ryan,QB
171,00-0026144,-0.06103145172879681,69,-4.21117016928698,Darren McFadden,RB
172,00-0026145,0.0703049156595499,415,29.176539998713206,Glenn Dorsey,DL
173,00-0026151,-0.14160290793883168,640,-90.62586108085227,Leodis McKelvin,DB
174,00-0026152,0.06861509087081243,588,40.34567343203771,Ryan Clady,OL
175,00-0026153,-0.01624691579306739,1030,-16.734323266859413,Jonathan Stewart,RB
176,00-0026155,0.12010016137611523,805,96.68062990777277,Branden Albert,OL
177,00-0026156,0.02711465654110951,2005,54.364886364924565,Dominique Rodgers-Cromartie,DB
