,QB,RB,TE,WR
pass_share,-0.014140944888967447,-0.013674470627579989,0.0020194833158105833,0.0009740528207146866
completion_percentage,0.005455855863342459,-1.2406752768652356e-06,-3.550655950068673e-06,1.679940082242514e-05
yards_per_completion,0.052489944997687325,-2.1869468258134393e-06,6.757011485644905e-05,4.444844175605054e-05
tds_per_completion,0.0015220879651746601,4.1198230764891275e-08,1.0457417029603419e-08,5.792176260304581e-09
rush_share,-0.0043679844780227396,0.0034674828945845146,0.0007484834986557806,0.0001410122919402213
yards_per_rush,-0.03340852047389421,0.04116535186079958,5.494631705270108e-05,-0.0003592550375633774
tds_per_rush,-0.0003479307790406075,0.0005496341238378893,2.9135148761241453e-06,-1.2785333551609214e-05
target_share,-6.789296936756818e-06,-0.005846310458943871,-0.001208151884742887,-0.0021454685940170987
catch_percentage,0.0027659382463858504,0.0013255929405145742,-0.0022346373882238765,-0.006028877727637909
yards_per_reception,-0.02854588484869549,0.03105346293794957,0.020727900204618954,0.017529390309535303
tds_per_reception,-2.8703628545477045e-05,-1.6711749015812034e-05,0.00064024813366521,0.001481320078539411
intercept,-0.107169465360379,-0.4135518182622022,-0.2134665643161326,-0.20636310469649277
