gsis_id,ra_rushing_yards_per_play,play_count,ra_rushing_yards_total_impact,display_name,position_group
00-0004091,0,302,0,Phil Dawson,SPEC
00-0016919,0,284,0,Adam Vinatieri,SPEC
00-0019596,0,3665,0,Tom Brady,QB
00-0019646,0,330,0,Sebastian Janikowski,SPEC
00-0019714,0,325,0,Shane Lechler,SPEC
00-0020337,0,270,0,Steve Smith,WR
00-0020531,0,2232,0,Drew Brees,QB
00-0020578,0,289,0,Matt Bryant,SPEC
00-0020679,0,39,0,Shaun Hill,QB
00-0020712,0,442,0,James Harrison,LB
00-0021140,0,963,0,Julius Peppers,DL
00-0021146,0,177,0,Dwight Freeney,DL
00-0021206,0,587,0,Josh McCown,QB
00-0021429,0,596,0,Carson Palmer,QB
00-0021451,0,111,0,Jon Dorenbos,SPEC
00-0021547,0,495,0,Antonio Gates,TE
00-0021678,0,3,0,Tony Romo,QB
00-0021706,0,209,0,Cullen Jenkins,DL
00-0022045,0,627,0,Terence Newman,DB
00-0022059,0,193,0,Robert Mathis,LB
00-0022084,0,315,0,Anquan Boldin,WR
00-0022127,0,1951,0,Jason Witten,TE
00-0022161,0,1245,0,Terrell Suggs,LB
00-0022247,0,1599,0,Mike Adams,DB
00-0022455,0,720,0,Don Muhlbach,SPEC
00-0022531,0,2303,0,Jason Peters,OL
00-0022684,0,435,0,Donnie Jones,SPEC
00-0022712,0,385,0,Vince Wilfork,DL
00-0022787,0,80,0,Matt Schaub,QB
00-0022793,0,92,0,Antonio Smith,DL
00-0022803,0,1405,0,Eli Manning,QB
00-0022824,0,935,0,Andy Lee,SPEC
00-0022839,0,338,0,Daryl Smith,LB
00-0022921,0,1899,0,Larry Fitzgerald,WR
00-0022923,0,152,0,DeAngelo Hall,DB
00-0022924,0,2295,0,Ben Roethlisberger,QB
00-0022927,0,896,0,Karlos Dansby,LB
00-0022942,0,2362,0,Philip Rivers,QB
00-0022943,0,737,0,Benjamin Watson,TE
00-0022999,0,266,0,John Kuhn,RB
00-0023003,0,163,0,Greg Warren,SPEC
00-0023096,0,227,0,Nick Novak,SPEC
00-0023173,0,445,0,John Denney,SPEC
00-0023177,0,353,0,Jon Condo,SPEC
00-0023252,0,715,0,Robbie Gould,SPEC
00-0023259,0,2203,0,Lorenzo Alexander,LB
00-0023298,0,716,0,L.P. LaDouceur,SPEC
00-0023368,0,768,0,Cameron Wake,LB
00-0023436,0,1375,0,Alex Smith,QB
00-0023441,0,701,0,Adam Jones,DB
00-0023445,0,126,0,DeMarcus Ware,LB
00-0023448,0,1690,0,Thomas Davis,LB
00-0023449,0,836,0,Derrick Johnson,LB
00-0023459,0,2945,0,Aaron Rodgers,QB
00-0023482,0,270,0,Mike Nugent,SPEC
00-0023487,0,24,0,Khalif Barnes,OL
00-0023494,0,324,0,Jonathan Babineaux,DL
00-0023496,0,118,0,Vincent Jackson,WR
00-0023500,0,1301,0,Frank Gore,RB
00-0023514,0,84,0,Evan Mathis,OL
00-0023516,0,1631,0,Richie Incognito,OL
00-0023534,0,816,0,Dustin Colquitt,SPEC
00-0023564,0,432,0,Darren Sproles,RB
00-0023579,0,135,0,Trent Cole,LB
00-0023639,0,1109,0,Joe Berger,OL
00-0023645,0,90,0,Derek Anderson,QB
00-0023662,0,84,0,Matt Cassel,QB
00-0023682,0,1144,0,Ryan Fitzpatrick,QB
00-0023740,0,65,0,Thomas Gafford,SPEC
00-0023742,0,328,0,Jon Ryan,SPEC
00-0023750,0,243,0,Mario Williams,DL
00-0023853,0,816,0,Matt Prater,SPEC
00-0023894,0,1448,0,Donald Penn,OL
00-0024030,0,717,0,Tom Johnson,DL
00-0024061,0,1557,0,Tramon Williams,DB
00-0024102,0,397,0,Tony McDaniel,DL
00-0024183,0,1258,0,Brent Grimes,DB
00-0024217,0,89,0,Reggie Bush,RB
00-0024221,0,1039,0,Vernon Davis,TE
00-0024223,0,251,0,Donte Whitner,DB
00-0024226,0,447,0,Jay Cutler,QB
00-0024227,0,654,0,Haloti Ngata,DL
00-0024232,0,317,0,Chad Greenway,LB
00-0024235,0,263,0,Tamba Hali,LB
00-0024239,0,1509,0,Johnathan Joseph,DB
00-0024242,0,145,0,DeAngelo Williams,RB
00-0024243,0,2511,0,Marcedes Lewis,TE
00-0024244,0,174,0,Nick Mangold,OL
00-0024249,0,374,0,D'Qwell Jackson,LB
00-0024258,0,252,0,Roman Harper,DB
00-0024264,0,126,0,Kellen Clemens,QB
00-0024268,0,773,0,Anthony Fasano,TE
00-0024270,0,3112,0,Andrew Whitworth,OL
00-0024271,0,670,0,Chris Chester,OL
00-0024272,0,146,0,Devin Hester,WR
00-0024278,0,336,0,Darryl Tapp,DL
00-0024281,0,326,0,Eric Winston,OL
00-0024306,0,879,0,Frostee Rucker,DL
00-0024323,0,975,0,Jahri Evans,OL
00-0024330,0,331,0,Will Blackmon,DB
00-0024331,0,39,0,Stephen Tulloch,LB
00-0024333,0,864,0,Stephen Gostkowski,SPEC
00-0024334,0,571,0,Brandon Marshall,WR
00-0024338,0,1381,0,Domata Peko Sr.,DL
00-0024341,0,180,0,Elvis Dumervil,DL
00-0024348,0,1225,0,Kyle Williams,DL
00-0024349,0,302,0,Rob Ninkovich,LB
00-0024389,0,676,0,Delanie Walker,TE
00-0024410,0,32,0,Kedric Golston,DL
00-0024417,0,907,0,Sam Koch,SPEC
00-0024421,0,1995,0,Antoine Bethea,DB
00-0024424,0,604,0,Zach Strief,OL
00-0024495,0,732,0,Ahmad Brooks,LB
00-0024535,0,760,0,Eric Weems,WR
00-0025390,0,584,0,Joe Thomas,OL
00-0025394,0,1029,0,Adrian Peterson,RB
00-0025396,0,1014,0,Ted Ginn,WR
00-0025399,0,402,0,Marshawn Lynch,RB
00-0025401,0,516,0,Darrelle Revis,DB
00-0025402,0,952,0,Lawrence Timmons,LB
00-0025405,0,489,0,Leon Hall,DB
00-0025406,0,339,0,Michael Griffin,DB
00-0025408,0,1216,0,Reggie Nelson,DB
