gsis_id,ra_sack_per_play,play_count,ra_sack_total_impact,display_name,position_group
00-0029263,4.6096268232942065e-38,8541,3.9370822697755815e-34,Russell Wilson,QB
00-0029592,3.951889560185654e-38,9248,3.6547074652596928e-34,Kevin Zeitler,OL
00-0032234,3.7332441442366225e-38,9206,3.4368245591842346e-34,Laken Tomlinson,OL
00-0028129,3.5190091647070276e-38,9691,3.4102717815175802e-34,Jason Kelce,OL
00-0031095,3.7023351405589534e-38,9199,3.405778095800181e-34,Charles Leno Jr.,OL
00-0030564,4.4450314037488266e-38,7487,3.3279950119867467e-34,DeAndre Hopkins,WR
00-0031330,3.8861380387293935e-38,8481,3.2958336706463985e-34,Morgan Moses,OL
00-0031279,3.4948723412114367e-38,9425,3.293917181591779e-34,Jake Matthews,OL
00-0032211,4.347945032065534e-38,7421,3.2266100082958325e-34,Tyler Lockett,WR
00-0033009,4.992347170530984e-38,6399,3.1946029544227764e-34,Tyler Boyd,WR
00-0032768,3.8345127252013174e-38,8102,3.1067222099581073e-34,Cody Whitehair,OL
00-0031426,3.6304579782604254e-38,8539,3.1000480676365773e-34,Joel Bitonio,OL
00-0026143,3.836879949257702e-38,7630,2.927539401283627e-34,Matt Ryan,QB
00-0029413,3.8888134321134375e-38,7526,2.9267209890085733e-34,Ben Jones,OL
00-0026166,4.3249700767214416e-38,6753,2.9206522928099897e-34,Duane Brown,OL
00-0032395,3.8658998938007055e-38,7543,2.9160482898938723e-34,Graham Glasgow,OL
00-0032380,4.0354786494854994e-38,7195,2.9035268883048167e-34,Laremy Tunsil,OL
00-0031381,3.8479623840873645e-38,7496,2.8844326031118882e-34,Davante Adams,WR
00-0026498,3.7094578360990144e-38,7699,2.855911588012631e-34,Matthew Stafford,QB
00-0029604,3.404233035124423e-38,8250,2.808492253977649e-34,Kirk Cousins,QB
00-0030035,3.7263426327645685e-38,7458,2.779106335515815e-34,Adam Thielen,WR
00-0029316,3.5471225994756404e-38,7762,2.753276561712992e-34,Kelvin Beachum,OL
00-0033284,3.900875405517792e-38,7017,2.7372442720518347e-34,Taylor Moton,OL
00-0032242,3.019472598269405e-38,9012,2.7211487055603878e-34,Rob Havenstein,OL
00-0031122,3.558649181189708e-38,7618,2.7109789462303197e-34,Andrew Norwell,OL
00-0031019,3.693473439969442e-38,7249,2.6773988966338485e-34,Corey Linsley,OL
00-0027648,3.338743582837126e-38,7973,2.6619802585960406e-34,Rodger Saffold,OL
00-0032381,3.3864637402571414e-38,7796,2.6400871319044676e-34,Taylor Decker,OL
00-0031236,3.646580569919054e-38,7228,2.635748435937492e-34,Brandin Cooks,WR
00-0031402,2.948716399151825e-38,8910,2.627306311644276e-34,Zack Martin,OL
00-0032688,4.559407376750983e-38,5667,2.583816160404782e-34,Robbie Chosen,WR
00-0033538,3.7746831431186813e-38,6840,2.581883269893178e-34,Garett Bolles,OL
00-0032217,2.6903937064512684e-38,9591,2.5803566038574115e-34,Donovan Smith,OL
00-0031588,3.371616964390247e-38,7642,2.576589684187027e-34,Stefon Diggs,WR
00-0023459,3.5289844603799445e-38,7296,2.5747470622932075e-34,Aaron Rodgers,QB
00-0032391,2.412288568323572e-38,10641,2.566916265553113e-34,Joe Thuney,OL
00-0031544,3.4368675890006076e-38,7433,2.5546236789041517e-34,Amari Cooper,WR
00-0033077,3.112065252757852e-38,8160,2.5394452462504072e-34,Dak Prescott,QB
00-0031408,3.290516234878514e-38,7675,2.5254712102692597e-34,Mike Evans,WR
00-0032384,3.922873506025615e-38,6417,2.5173079288166373e-34,Germain Ifedi,OL
00-0031280,3.0295370676903326e-38,8213,2.4881587936940704e-34,Derek Carr,QB
00-0033904,2.9640828812828076e-38,8363,2.478862513616812e-34,Dion Dawkins,OL
00-0033011,4.0087328813439165e-38,6173,2.4745908076535998e-34,Connor McGovern,OL
00-0032222,3.5870133796736585e-38,6854,2.4585389704283255e-34,D.J. Humphries,OL
00-0026997,3.501781425811578e-38,6994,2.4491459292126176e-34,Alex Mack,OL
00-0033106,2.909996594857877e-38,8413,2.4481801352539317e-34,Jared Goff,QB
00-0032950,3.780645339539496e-38,6469,2.4456994701480997e-34,Carson Wentz,QB
00-0033057,3.677142867492539e-38,6626,2.436474864000556e-34,Jack Conklin,OL
00-0030506,2.8323034225737813e-38,8574,2.4284169545147602e-34,Travis Kelce,TE
00-0029293,3.833691306921022e-38,6323,2.4240430133661622e-34,Marvin Jones,WR
00-0032043,3.8254650584842663e-38,6310,2.413868451903572e-34,Quinton Spain,OL
00-0032383,3.322777750224361e-38,7252,2.4096784244627067e-34,Ryan Kelly,OL
00-0031580,2.4480210553150813e-38,9827,2.4056702910581305e-34,Shaq Mason,OL
00-0031362,3.644746012924565e-38,6485,2.3636177893815802e-34,Trai Turner,OL
00-0031349,4.092745502048855e-38,5764,2.35905850738096e-34,Matt Paradis,OL
00-0033288,3.812444894422953e-38,6166,2.350753521901193e-34,George Kittle,TE
00-0031581,3.149224523859222e-38,7451,2.3464871927275063e-34,Mark Glowinski,OL
00-0030061,3.4778880792175854e-38,6733,2.3416620437372e-34,Zach Ertz,TE
00-0029701,4.101459534282584e-38,5650,2.31732463686966e-34,Ryan Tannehill,QB
00-0033537,5.00314411025524e-38,4619,2.3109522645268955e-34,Deshaun Watson,QB
00-0031428,3.944484227850481e-38,5851,2.3079177217153167e-34,Allen Robinson,WR
00-0032053,3.1798846506877704e-38,7254,2.3066883256089085e-34,Brandon Scherff,OL
00-0034827,4.121810957973564e-38,5566,2.2941999792080857e-34,DJ Moore,WR
00-0029672,3.427646152328136e-38,6659,2.2824695728353055e-34,Riley Reiff,OL
00-0032969,4.792246731448044e-38,4760,2.2811094441692686e-34,Nick Martin,OL
